date	pdo-index	MA-6	MA-12
1951-01-01	-1.19		
1951-02-01	-1.52		
1951-03-01	-1.72		
1951-04-01	-1.35		
1951-05-01	-1.29		
1951-06-01	-1.77	-1.4733333333333334	
1951-07-01	-0.23	-1.3133333333333335	
1951-08-01	-1.76	-1.3533333333333335	
1951-09-01	-0.78	-1.1966666666666668	
1951-10-01	-0.09	-0.9866666666666667	
1951-11-01	-0.31	-0.8233333333333333	
1951-12-01	-1.45	-0.77	-1.1216666666666668
1952-01-01	-2.19	-1.0966666666666667	-1.205
1952-02-01	-1.35	-1.0283333333333333	-1.1908333333333334
1952-03-01	-1.67	-1.1766666666666665	-1.1866666666666668
1952-04-01	-1.92	-1.4816666666666667	-1.2341666666666666
1952-05-01	-2.07	-1.7749999999999997	-1.2991666666666666
1952-06-01	-2.13	-1.8883333333333334	-1.3291666666666666
1952-07-01	-2.05	-1.865	-1.4808333333333332
1952-08-01	-1.58	-1.9033333333333333	-1.465833333333333
1952-09-01	-1.36	-1.8516666666666668	-1.5141666666666669
1952-10-01	-0.91	-1.6833333333333336	-1.5825000000000002
1952-11-01	-0.53	-1.4266666666666667	-1.600833333333333
1952-12-01	-0.83	-1.21	-1.5491666666666666
1953-01-01	-0.16	-0.8950000000000001	-1.3800000000000001
1953-02-01	-0.46	-0.7083333333333334	-1.3058333333333334
1953-03-01	-1.27	-0.6933333333333334	-1.2725
1953-04-01	-0.9	-0.6916666666666668	-1.1875
1953-05-01	-0.55	-0.695	-1.0608333333333333
1953-06-01	-0.2	-0.59	-0.9
1953-07-01	0.06	-0.5533333333333333	-0.7241666666666666
1953-08-01	-0.92	-0.63	-0.6691666666666666
1953-09-01	-1.11	-0.6033333333333334	-0.6483333333333333
1953-10-01	-1.48	-0.7000000000000001	-0.6958333333333333
1953-11-01	-0.51	-0.6933333333333334	-0.6941666666666667
1953-12-01	-0.18	-0.6900000000000001	-0.64
1954-01-01	-1.13	-0.8883333333333333	-0.7208333333333332
1954-02-01	-0.95	-0.8933333333333332	-0.7616666666666667
1954-03-01	-1.15	-0.9	-0.7516666666666666
1954-04-01	-1.25	-0.8616666666666667	-0.7808333333333333
1954-05-01	-0.76	-0.9033333333333333	-0.7983333333333333
1954-06-01	0.49	-0.7916666666666665	-0.7408333333333332
1954-07-01	-0.08	-0.6166666666666666	-0.7525
1954-08-01	-0.32	-0.5116666666666667	-0.7025
1954-09-01	-1.05	-0.49499999999999994	-0.6974999999999999
1954-10-01	0.02	-0.2833333333333333	-0.5724999999999999
1954-11-01	0.85	-0.014999999999999994	-0.45916666666666667
1954-12-01	0.49	-0.014999999999999994	-0.4033333333333333
1955-01-01	-0.23	-0.04	-0.3283333333333333
1955-02-01	-1.01	-0.155	-0.3333333333333333
1955-03-01	-1.24	-0.18666666666666665	-0.3408333333333333
1955-04-01	-2.21	-0.5583333333333332	-0.42083333333333334
1955-05-01	-1.89	-1.015	-0.515
1955-06-01	-2.18	-1.46	-0.7375000000000002
1955-07-01	-2.75	-1.88	-0.96
1955-08-01	-2.66	-2.155	-1.155
1955-09-01	-2.48	-2.361666666666667	-1.2741666666666667
1955-10-01	-3.35	-2.5516666666666667	-1.555
1955-11-01	-2.63	-2.6750000000000003	-1.845
1955-12-01	-2.2	-2.6783333333333332	-2.069166666666667
1956-01-01	-2.26	-2.5966666666666667	-2.2383333333333333
1956-02-01	-2.28	-2.533333333333333	-2.3441666666666667
1956-03-01	-2.93	-2.608333333333333	-2.485
1956-04-01	-2.55	-2.475	-2.513333333333333
1956-05-01	-1.62	-2.3066666666666666	-2.4908333333333332
1956-06-01	-1.98	-2.27	-2.4741666666666666
1956-07-01	-1.48	-2.14	-2.368333333333333
1956-08-01	-1.0	-1.9266666666666667	-2.23
1956-09-01	-0.28	-1.4849999999999997	-2.0466666666666664
1956-10-01	-1.66	-1.3366666666666667	-1.9058333333333335
1956-11-01	-2.44	-1.4733333333333334	-1.89
1956-12-01	-1.27	-1.3549999999999998	-1.8125
1957-01-01	-1.31	-1.3266666666666667	-1.7333333333333334
1957-02-01	-1.57	-1.4216666666666666	-1.6741666666666666
1957-03-01	-0.83	-1.5133333333333334	-1.4991666666666665
